# a*ml / a*mh       E             ff_avg        ff_err+       ff_err-     
0.01 / 0.05         1.049634e+00  1.963476e+00  2.133021e-02  2.033079e-02
0.01 / 0.05         1.357181e+00  1.736494e+00  1.983013e-02  2.013287e-02
0.01 / 0.05         1.606906e+00  1.610978e+00  2.861100e-02  2.749700e-02
0.01 / 0.05         1.822733e+00  1.551431e+00  4.643229e-02  4.987371e-02
0.007 / 0.05        1.020518e+00  1.998996e+00  3.210934e-02  3.048966e-02
0.007 / 0.05        1.334790e+00  1.751808e+00  3.150549e-02  3.206851e-02
0.007 / 0.05        1.588041e+00  1.617767e+00  5.244234e-02  5.111466e-02
0.007 / 0.05        1.806124e+00  1.496333e+00  8.640837e-02  8.957563e-02
0.005 / 0.05        1.000700e+00  1.991880e+00  3.129594e-02  3.197906e-02
0.005 / 0.05        1.231030e+00  1.799093e+00  2.962121e-02  2.960579e-02
0.005 / 0.05        1.424594e+00  1.675820e+00  3.074415e-02  3.053385e-02
0.005 / 0.05        1.594836e+00  1.598324e+00  3.966101e-02  3.943599e-02
0.0062 / 0.031      9.580160e-01  1.956736e+00  2.294548e-02  2.281851e-02
0.0062 / 0.031      1.280866e+00  1.704028e+00  2.596865e-02  2.508135e-02
0.0062 / 0.031      1.537348e+00  1.563260e+00  3.752743e-02  3.728657e-02
0.0062 / 0.031      1.756776e+00  1.456210e+00  6.010325e-02  6.176475e-02
0.00465 / 0.031     9.337863e-01  1.961082e+00  3.780250e-02  3.599050e-02
0.00465 / 0.031     1.191798e+00  1.735056e+00  3.407701e-02  3.350299e-02
0.00465 / 0.031     1.403143e+00  1.573942e+00  4.141640e-02  4.026560e-02
0.00465 / 0.031     1.586580e+00  1.474690e+00  5.939586e-02  5.895814e-02
0.0031 / 0.031      9.082801e-01  1.949082e+00  3.699432e-02  3.511968e-02
0.0031 / 0.031      1.082960e+00  1.801897e+00  3.421667e-02  3.271033e-02
0.0031 / 0.031      1.233138e+00  1.697241e+00  3.626915e-02  3.508085e-02
0.0031 / 0.031      1.366916e+00  1.612698e+00  4.404230e-02  4.334770e-02
0.00155 / 0.031     8.846316e-01  1.893816e+00  3.628099e-02  3.464501e-02
0.00155 / 0.031     9.577147e-01  1.827511e+00  3.515159e-02  3.342241e-02
0.00155 / 0.031     1.025603e+00  1.768618e+00  3.515297e-02  3.269303e-02
0.00155 / 0.031     1.089269e+00  1.714539e+00  3.548824e-02  3.344976e-02
0.0036 / 0.018      8.745963e-01  1.919060e+00  4.169502e-02  4.262098e-02
0.0036 / 0.018      1.120678e+00  1.688102e+00  4.063391e-02  4.091109e-02
0.0036 / 0.018      1.321711e+00  1.563358e+00  4.744380e-02  4.706320e-02
0.0036 / 0.018      1.495968e+00  1.526969e+00  6.905053e-02  6.621947e-02
0.0018 / 0.018      8.322024e-01  1.987190e+00  4.178904e-02  4.438196e-02
0.0018 / 0.018      9.818608e-01  1.833624e+00  3.833599e-02  4.007601e-02
0.0018 / 0.018      1.111549e+00  1.724447e+00  3.757090e-02  3.931210e-02
0.0018 / 0.018      1.227612e+00  1.639504e+00  4.192489e-02  4.367411e-02
0.0028 / 0.014      8.542942e-01  1.939527e+00  2.804804e-02  2.804396e-02
0.0028 / 0.014      1.109329e+00  1.740952e+00  3.267278e-02  3.058822e-02
0.0028 / 0.014      1.315828e+00  1.593941e+00  3.758740e-02  3.798860e-02
0.0028 / 0.014      1.494053e+00  1.445040e+00  5.601388e-02  5.604712e-02
