# a*ml / a*mh = 0.000965 / 0.0265
# E           ff_avg        ff_err      
8.000000e-01  1.890351e+00  3.066602e-02
8.121212e-01  1.877971e+00  3.050997e-02
8.242424e-01  1.865726e+00  3.036103e-02
8.363636e-01  1.853615e+00  3.021876e-02
8.484848e-01  1.841636e+00  3.008286e-02
8.606061e-01  1.829789e+00  2.995305e-02
8.727273e-01  1.818071e+00  2.982917e-02
8.848485e-01  1.806481e+00  2.971110e-02
8.969697e-01  1.795019e+00  2.959878e-02
9.090909e-01  1.783683e+00  2.949222e-02
9.212121e-01  1.772471e+00  2.939149e-02
9.333333e-01  1.761383e+00  2.929668e-02
9.454545e-01  1.750418e+00  2.920795e-02
9.575758e-01  1.739574e+00  2.912549e-02
9.696970e-01  1.728851e+00  2.904955e-02
9.818182e-01  1.718246e+00  2.898039e-02
9.939394e-01  1.707760e+00  2.891831e-02
1.006061e+00  1.697390e+00  2.886363e-02
1.018182e+00  1.687137e+00  2.881672e-02
1.030303e+00  1.676999e+00  2.877795e-02
1.042424e+00  1.666974e+00  2.874770e-02
1.054545e+00  1.657062e+00  2.872640e-02
1.066667e+00  1.647263e+00  2.871447e-02
1.078788e+00  1.637574e+00  2.871233e-02
1.090909e+00  1.627996e+00  2.872044e-02
1.103030e+00  1.618527e+00  2.873923e-02
1.115152e+00  1.609166e+00  2.876916e-02
1.127273e+00  1.599913e+00  2.881068e-02
1.139394e+00  1.590766e+00  2.886423e-02
1.151515e+00  1.581726e+00  2.893025e-02
1.163636e+00  1.572790e+00  2.900918e-02
1.175758e+00  1.563958e+00  2.910144e-02
1.187879e+00  1.555230e+00  2.920746e-02
1.200000e+00  1.546605e+00  2.932762e-02
1.212121e+00  1.538082e+00  2.946232e-02
1.224242e+00  1.529660e+00  2.961194e-02
1.236364e+00  1.521339e+00  2.977684e-02
1.248485e+00  1.513117e+00  2.995736e-02
1.260606e+00  1.504995e+00  3.015382e-02
1.272727e+00  1.496972e+00  3.036654e-02
1.284848e+00  1.489047e+00  3.059582e-02
1.296970e+00  1.481219e+00  3.084194e-02
1.309091e+00  1.473488e+00  3.110516e-02
1.321212e+00  1.465854e+00  3.138575e-02
1.333333e+00  1.458315e+00  3.168395e-02
1.345455e+00  1.450872e+00  3.199999e-02
1.357576e+00  1.443524e+00  3.233412e-02
1.369697e+00  1.436270e+00  3.268655e-02
1.381818e+00  1.429110e+00  3.305753e-02
1.393939e+00  1.422044e+00  3.344726e-02
1.406061e+00  1.415071e+00  3.385600e-02
1.418182e+00  1.408190e+00  3.428398e-02
1.430303e+00  1.401402e+00  3.473146e-02
1.442424e+00  1.394706e+00  3.519872e-02
1.454545e+00  1.388101e+00  3.568603e-02
1.466667e+00  1.381588e+00  3.619373e-02
1.478788e+00  1.375166e+00  3.672214e-02
1.490909e+00  1.368835e+00  3.727165e-02
1.503030e+00  1.362595e+00  3.784265e-02
1.515152e+00  1.356445e+00  3.843560e-02
1.527273e+00  1.350385e+00  3.905098e-02
1.539394e+00  1.344415e+00  3.968933e-02
1.551515e+00  1.338534e+00  4.035123e-02
1.563636e+00  1.332744e+00  4.103731e-02
1.575758e+00  1.327042e+00  4.174827e-02
1.587879e+00  1.321431e+00  4.248487e-02
1.600000e+00  1.315908e+00  4.324791e-02
1.612121e+00  1.310475e+00  4.403828e-02
1.624242e+00  1.305131e+00  4.485694e-02
1.636364e+00  1.299876e+00  4.570489e-02
1.648485e+00  1.294710e+00  4.658324e-02
1.660606e+00  1.289633e+00  4.749317e-02
1.672727e+00  1.284646e+00  4.843590e-02
1.684848e+00  1.279747e+00  4.941278e-02
1.696970e+00  1.274938e+00  5.042520e-02
1.709091e+00  1.270219e+00  5.147467e-02
1.721212e+00  1.265588e+00  5.256273e-02
1.733333e+00  1.261048e+00  5.369105e-02
1.745455e+00  1.256597e+00  5.486136e-02
1.757576e+00  1.252236e+00  5.607547e-02
1.769697e+00  1.247965e+00  5.733527e-02
1.781818e+00  1.243784e+00  5.864275e-02
1.793939e+00  1.239694e+00  5.999994e-02
1.806061e+00  1.235695e+00  6.140899e-02
1.818182e+00  1.231787e+00  6.287209e-02
1.830303e+00  1.227970e+00  6.439152e-02
1.842424e+00  1.224245e+00  6.596962e-02
1.854545e+00  1.220611e+00  6.760882e-02
1.866667e+00  1.217070e+00  6.931160e-02
1.878788e+00  1.213622e+00  7.108048e-02
1.890909e+00  1.210266e+00  7.291809e-02
1.903030e+00  1.207004e+00  7.482707e-02
1.915152e+00  1.203836e+00  7.681014e-02
1.927273e+00  1.200762e+00  7.887006e-02
1.939394e+00  1.197783e+00  8.100963e-02
1.951515e+00  1.194899e+00  8.323172e-02
1.963636e+00  1.192111e+00  8.553922e-02
1.975758e+00  1.189419e+00  8.793506e-02
1.987879e+00  1.186824e+00  9.042221e-02
2.000000e+00  1.184327e+00  9.300368e-02
