# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
8.000000e-01  2.218263e+00  2.203220e+00  2.187405e+00  2.099817e+00  2.081227e+00  2.056501e+00  2.023528e+00  1.996482e+00  1.953500e+00  2.005147e+00
8.121212e-01  2.204794e+00  2.189789e+00  2.174000e+00  2.087014e+00  2.068450e+00  2.043752e+00  2.010806e+00  1.983916e+00  1.940977e+00  1.992648e+00
8.242424e-01  2.191478e+00  2.176511e+00  2.160748e+00  2.074353e+00  2.055816e+00  2.031144e+00  1.998224e+00  1.971488e+00  1.928592e+00  1.980286e+00
8.363636e-01  2.178316e+00  2.163385e+00  2.147646e+00  2.061835e+00  2.043323e+00  2.018676e+00  1.985781e+00  1.959199e+00  1.916344e+00  1.968061e+00
8.484848e-01  2.165305e+00  2.150409e+00  2.134693e+00  2.049457e+00  2.030970e+00  2.006347e+00  1.973477e+00  1.947046e+00  1.904230e+00  1.955972e+00
8.606061e-01  2.152445e+00  2.137583e+00  2.121889e+00  2.037218e+00  2.018755e+00  1.994156e+00  1.961309e+00  1.935028e+00  1.892250e+00  1.944016e+00
8.727273e-01  2.139733e+00  2.124904e+00  2.109232e+00  2.025117e+00  2.006677e+00  1.982101e+00  1.949276e+00  1.923144e+00  1.880403e+00  1.932193e+00
8.848485e-01  2.127169e+00  2.112371e+00  2.096721e+00  2.013153e+00  1.994735e+00  1.970181e+00  1.937378e+00  1.911392e+00  1.868686e+00  1.920502e+00
8.969697e-01  2.114752e+00  2.099985e+00  2.084355e+00  2.001324e+00  1.982928e+00  1.958395e+00  1.925613e+00  1.899771e+00  1.857100e+00  1.908941e+00
9.090909e-01  2.102480e+00  2.087742e+00  2.072131e+00  1.989629e+00  1.971254e+00  1.946741e+00  1.913980e+00  1.888281e+00  1.845643e+00  1.897509e+00
9.212121e-01  2.090352e+00  2.075642e+00  2.060050e+00  1.978068e+00  1.959712e+00  1.935219e+00  1.902477e+00  1.876919e+00  1.834313e+00  1.886204e+00
9.333333e-01  2.078367e+00  2.063684e+00  2.048110e+00  1.966638e+00  1.948301e+00  1.923827e+00  1.891103e+00  1.865685e+00  1.823109e+00  1.875027e+00
9.454545e-01  2.066523e+00  2.051866e+00  2.036309e+00  1.955339e+00  1.937020e+00  1.912564e+00  1.879858e+00  1.854578e+00  1.812030e+00  1.863975e+00
9.575758e-01  2.054821e+00  2.040188e+00  2.024648e+00  1.944169e+00  1.925868e+00  1.901429e+00  1.868740e+00  1.843596e+00  1.801076e+00  1.853047e+00
9.696970e-01  2.043257e+00  2.028648e+00  2.013123e+00  1.933128e+00  1.914843e+00  1.890420e+00  1.857748e+00  1.832738e+00  1.790245e+00  1.842243e+00
9.818182e-01  2.031832e+00  2.017245e+00  2.001735e+00  1.922214e+00  1.903944e+00  1.879537e+00  1.846880e+00  1.822004e+00  1.779535e+00  1.831560e+00
9.939394e-01  2.020545e+00  2.005979e+00  1.990483e+00  1.911426e+00  1.893172e+00  1.868779e+00  1.836137e+00  1.811392e+00  1.768946e+00  1.820999e+00
1.006061e+00  2.009394e+00  1.994847e+00  1.979365e+00  1.900764e+00  1.882523e+00  1.858145e+00  1.825516e+00  1.800900e+00  1.758477e+00  1.810558e+00
1.018182e+00  1.998377e+00  1.983850e+00  1.968380e+00  1.890225e+00  1.871998e+00  1.847632e+00  1.815016e+00  1.790529e+00  1.748127e+00  1.800235e+00
1.030303e+00  1.987496e+00  1.972986e+00  1.957527e+00  1.879810e+00  1.861595e+00  1.837242e+00  1.804638e+00  1.780276e+00  1.737894e+00  1.790031e+00
1.042424e+00  1.976747e+00  1.962253e+00  1.946806e+00  1.869517e+00  1.851313e+00  1.826971e+00  1.794379e+00  1.770142e+00  1.727778e+00  1.779943e+00
