# a*ml / a*mh = 0.000965 / 0.0265
# E           ff_avg        ff_err      
8.000000e-01  1.194221e+00  2.441519e-02
8.121212e-01  1.176588e+00  2.384464e-02
8.242424e-01  1.159378e+00  2.331186e-02
8.363636e-01  1.142576e+00  2.281370e-02
8.484848e-01  1.126168e+00  2.234721e-02
8.606061e-01  1.110140e+00  2.190962e-02
8.727273e-01  1.094479e+00  2.149836e-02
8.848485e-01  1.079172e+00  2.111107e-02
8.969697e-01  1.064207e+00  2.074557e-02
9.090909e-01  1.049573e+00  2.039986e-02
9.212121e-01  1.035258e+00  2.007215e-02
9.333333e-01  1.021252e+00  1.976079e-02
9.454545e-01  1.007544e+00  1.946434e-02
9.575758e-01  9.941255e-01  1.918148e-02
9.696970e-01  9.809861e-01  1.891108e-02
9.818182e-01  9.681171e-01  1.865212e-02
9.939394e-01  9.555097e-01  1.840374e-02
1.006061e+00  9.431557e-01  1.816519e-02
1.018182e+00  9.310469e-01  1.793584e-02
1.030303e+00  9.191758e-01  1.771519e-02
1.042424e+00  9.075348e-01  1.750280e-02
1.054545e+00  8.961168e-01  1.729835e-02
1.066667e+00  8.849148e-01  1.710161e-02
1.078788e+00  8.739223e-01  1.691241e-02
1.090909e+00  8.631328e-01  1.673065e-02
1.103030e+00  8.525400e-01  1.655630e-02
1.115152e+00  8.421382e-01  1.638940e-02
1.127273e+00  8.319214e-01  1.623002e-02
1.139394e+00  8.218841e-01  1.607828e-02
1.151515e+00  8.120209e-01  1.593436e-02
1.163636e+00  8.023267e-01  1.579844e-02
1.175758e+00  7.927963e-01  1.567077e-02
1.187879e+00  7.834250e-01  1.555161e-02
1.200000e+00  7.742080e-01  1.544123e-02
1.212121e+00  7.651408e-01  1.533993e-02
1.224242e+00  7.562189e-01  1.524804e-02
1.236364e+00  7.474381e-01  1.516588e-02
1.248485e+00  7.387942e-01  1.509377e-02
1.260606e+00  7.302833e-01  1.503208e-02
1.272727e+00  7.219014e-01  1.498113e-02
1.284848e+00  7.136448e-01  1.494127e-02
1.296970e+00  7.055097e-01  1.491285e-02
1.309091e+00  6.974928e-01  1.489620e-02
1.321212e+00  6.895904e-01  1.489165e-02
1.333333e+00  6.817993e-01  1.489954e-02
1.345455e+00  6.741162e-01  1.492017e-02
1.357576e+00  6.665379e-01  1.495387e-02
1.369697e+00  6.590614e-01  1.500092e-02
1.381818e+00  6.516836e-01  1.506163e-02
1.393939e+00  6.444018e-01  1.513627e-02
1.406061e+00  6.372130e-01  1.522512e-02
1.418182e+00  6.301145e-01  1.532845e-02
1.430303e+00  6.231036e-01  1.544652e-02
1.442424e+00  6.161778e-01  1.557958e-02
1.454545e+00  6.093344e-01  1.572789e-02
1.466667e+00  6.025711e-01  1.589170e-02
1.478788e+00  5.958853e-01  1.607124e-02
1.490909e+00  5.892748e-01  1.626678e-02
1.503030e+00  5.827373e-01  1.647855e-02
1.515152e+00  5.762705e-01  1.670680e-02
1.527273e+00  5.698722e-01  1.695181e-02
1.539394e+00  5.635404e-01  1.721381e-02
1.551515e+00  5.572729e-01  1.749309e-02
1.563636e+00  5.510678e-01  1.778992e-02
1.575758e+00  5.449230e-01  1.810458e-02
1.587879e+00  5.388366e-01  1.843736e-02
1.600000e+00  5.328068e-01  1.878857e-02
1.612121e+00  5.268317e-01  1.915853e-02
1.624242e+00  5.209095e-01  1.954754e-02
1.636364e+00  5.150384e-01  1.995595e-02
1.648485e+00  5.092167e-01  2.038409e-02
1.660606e+00  5.034428e-01  2.083233e-02
1.672727e+00  4.977149e-01  2.130101e-02
1.684848e+00  4.920315e-01  2.179052e-02
1.696970e+00  4.863910e-01  2.230123e-02
1.709091e+00  4.807919e-01  2.283353e-02
1.721212e+00  4.752325e-01  2.338781e-02
1.733333e+00  4.697116e-01  2.396447e-02
1.745455e+00  4.642275e-01  2.456393e-02
1.757576e+00  4.587789e-01  2.518658e-02
1.769697e+00  4.533644e-01  2.583286e-02
1.781818e+00  4.479826e-01  2.650317e-02
1.793939e+00  4.426322e-01  2.719794e-02
1.806061e+00  4.373118e-01  2.791760e-02
1.818182e+00  4.320202e-01  2.866257e-02
1.830303e+00  4.267561e-01  2.943328e-02
1.842424e+00  4.215183e-01  3.023016e-02
1.854545e+00  4.163055e-01  3.105363e-02
1.866667e+00  4.111166e-01  3.190414e-02
1.878788e+00  4.059503e-01  3.278210e-02
1.890909e+00  4.008056e-01  3.368794e-02
1.903030e+00  3.956813e-01  3.462208e-02
1.915152e+00  3.905762e-01  3.558495e-02
1.927273e+00  3.854894e-01  3.657698e-02
1.939394e+00  3.804196e-01  3.759857e-02
1.951515e+00  3.753659e-01  3.865014e-02
1.963636e+00  3.703272e-01  3.973211e-02
1.975758e+00  3.653024e-01  4.084490e-02
1.987879e+00  3.602907e-01  4.198890e-02
2.000000e+00  3.552910e-01  4.316452e-02
