# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
8.000000e-01  1.325175e+00  1.318330e+00  1.310734e+00  1.262467e+00  1.254958e+00  1.244179e+00  1.228960e+00  1.247023e+00  1.227994e+00  1.237877e+00
8.121212e-01  1.306031e+00  1.299255e+00  1.291741e+00  1.244021e+00  1.236593e+00  1.225935e+00  1.210890e+00  1.228736e+00  1.209922e+00  1.219696e+00
8.242424e-01  1.287356e+00  1.280646e+00  1.273212e+00  1.226026e+00  1.218676e+00  1.208135e+00  1.193262e+00  1.210895e+00  1.192290e+00  1.201958e+00
8.363636e-01  1.269133e+00  1.262487e+00  1.255132e+00  1.208463e+00  1.201190e+00  1.190765e+00  1.176058e+00  1.193483e+00  1.175082e+00  1.184647e+00
8.484848e-01  1.251346e+00  1.244762e+00  1.237483e+00  1.191319e+00  1.184121e+00  1.173807e+00  1.159263e+00  1.176485e+00  1.158284e+00  1.167747e+00
8.606061e-01  1.233977e+00  1.227455e+00  1.220250e+00  1.174578e+00  1.167453e+00  1.157248e+00  1.142862e+00  1.159886e+00  1.141879e+00  1.151243e+00
8.727273e-01  1.217014e+00  1.210551e+00  1.203419e+00  1.158226e+00  1.151171e+00  1.141073e+00  1.126842e+00  1.143671e+00  1.125854e+00  1.135121e+00
8.848485e-01  1.200442e+00  1.194037e+00  1.186975e+00  1.142248e+00  1.135263e+00  1.125269e+00  1.111189e+00  1.127827e+00  1.110195e+00  1.119368e+00
8.969697e-01  1.184246e+00  1.177897e+00  1.170905e+00  1.126632e+00  1.119714e+00  1.109822e+00  1.095890e+00  1.112342e+00  1.094891e+00  1.103972e+00
9.090909e-01  1.168414e+00  1.162120e+00  1.155196e+00  1.111365e+00  1.104513e+00  1.094721e+00  1.080933e+00  1.097202e+00  1.079928e+00  1.088918e+00
