# a*ml / a*mh       E             ff_avg        ff_err+       ff_err-     
0.01 / 0.05         1.357181e+00  7.515782e-01  8.750775e-03  8.797525e-03
0.01 / 0.05         1.606906e+00  6.082392e-01  9.662145e-03  9.288655e-03
0.01 / 0.05         1.822733e+00  4.969767e-01  2.116878e-02  2.058872e-02
0.007 / 0.05        1.334790e+00  7.786581e-01  1.567118e-02  1.534082e-02
0.007 / 0.05        1.588041e+00  6.157146e-01  1.803304e-02  1.843666e-02
0.007 / 0.05        1.806124e+00  5.208819e-01  3.958920e-02  4.066940e-02
0.005 / 0.05        1.231030e+00  8.465859e-01  1.641087e-02  1.652283e-02
0.005 / 0.05        1.424594e+00  7.066223e-01  1.314595e-02  1.281075e-02
0.005 / 0.05        1.594836e+00  6.172726e-01  1.397920e-02  1.351070e-02
0.0062 / 0.031      1.280866e+00  7.658216e-01  1.300150e-02  1.308020e-02
0.0062 / 0.031      1.537348e+00  6.073844e-01  1.290698e-02  1.318522e-02
0.0062 / 0.031      1.756776e+00  4.872973e-01  2.065751e-02  2.075819e-02
0.00465 / 0.031     1.191798e+00  8.428060e-01  1.775320e-02  1.862710e-02
0.00465 / 0.031     1.403143e+00  6.977045e-01  1.767354e-02  1.878316e-02
0.00465 / 0.031     1.586580e+00  5.926406e-01  2.373038e-02  2.526162e-02
0.0031 / 0.031      1.082960e+00  9.115101e-01  1.836072e-02  1.758488e-02
0.0031 / 0.031      1.233138e+00  7.871664e-01  1.726620e-02  1.686290e-02
0.0031 / 0.031      1.366916e+00  7.003110e-01  1.877947e-02  1.928242e-02
0.00155 / 0.031     9.577147e-01  9.933321e-01  2.318194e-02  2.179186e-02
0.00155 / 0.031     1.025603e+00  9.237383e-01  2.124241e-02  2.109779e-02
0.00155 / 0.031     1.089269e+00  8.650374e-01  2.014967e-02  1.996983e-02
0.0036 / 0.018      1.120678e+00  8.446237e-01  2.274337e-02  2.337943e-02
0.0036 / 0.018      1.321711e+00  6.815075e-01  2.161852e-02  2.167708e-02
0.0036 / 0.018      1.495968e+00  5.732021e-01  2.615119e-02  2.508681e-02
0.0018 / 0.018      9.818608e-01  1.025066e+00  2.621059e-02  2.517851e-02
0.0018 / 0.018      1.111549e+00  8.974692e-01  2.260713e-02  2.269677e-02
0.0018 / 0.018      1.227612e+00  7.958973e-01  2.312687e-02  2.365743e-02
0.0028 / 0.014      1.109329e+00  8.888184e-01  1.773843e-02  1.708037e-02
0.0028 / 0.014      1.315828e+00  7.384821e-01  1.891486e-02  1.834084e-02
0.0028 / 0.014      1.494053e+00  6.367769e-01  2.439848e-02  2.248982e-02
