# a*ml / a*mh = 0.000965 / 0.0265
# E           ff_avg        ff_err      
9.577147e-01  9.941021e-01  1.910580e-02
9.753681e-01  9.750604e-01  1.871679e-02
9.930216e-01  9.565838e-01  1.835123e-02
1.010675e+00  9.386461e-01  1.800671e-02
1.028328e+00  9.212227e-01  1.768132e-02
1.045982e+00  9.042902e-01  1.737364e-02
1.063635e+00  8.878266e-01  1.708269e-02
1.081289e+00  8.718109e-01  1.680782e-02
1.098942e+00  8.562232e-01  1.654874e-02
1.116596e+00  8.410448e-01  1.630540e-02
1.134249e+00  8.262578e-01  1.607802e-02
1.151902e+00  8.118451e-01  1.586701e-02
1.169556e+00  7.977905e-01  1.567296e-02
1.187209e+00  7.840786e-01  1.549660e-02
1.204863e+00  7.706949e-01  1.533874e-02
1.222516e+00  7.576251e-01  1.520032e-02
1.240170e+00  7.448561e-01  1.508230e-02
1.257823e+00  7.323750e-01  1.498572e-02
1.275477e+00  7.201697e-01  1.491161e-02
1.293130e+00  7.082284e-01  1.486102e-02
1.310783e+00  6.965401e-01  1.483498e-02
1.328437e+00  6.850940e-01  1.483451e-02
1.346090e+00  6.738799e-01  1.486060e-02
1.363744e+00  6.628881e-01  1.491419e-02
1.381397e+00  6.521090e-01  1.499620e-02
1.399051e+00  6.415336e-01  1.510751e-02
1.416704e+00  6.311533e-01  1.524896e-02
1.434357e+00  6.209597e-01  1.542136e-02
1.452011e+00  6.109449e-01  1.562549e-02
1.469664e+00  6.011009e-01  1.586214e-02
1.487318e+00  5.914205e-01  1.613205e-02
1.504971e+00  5.818965e-01  1.643602e-02
1.522625e+00  5.725220e-01  1.677481e-02
1.540278e+00  5.632902e-01  1.714923e-02
1.557931e+00  5.541948e-01  1.756010e-02
1.575585e+00  5.452296e-01  1.800831e-02
1.593238e+00  5.363885e-01  1.849474e-02
1.610892e+00  5.276658e-01  1.902035e-02
1.628545e+00  5.190560e-01  1.958614e-02
1.646199e+00  5.105534e-01  2.019313e-02
1.663852e+00  5.021530e-01  2.084241e-02
1.681506e+00  4.938496e-01  2.153511e-02
1.699159e+00  4.856383e-01  2.227238e-02
1.716812e+00  4.775143e-01  2.305542e-02
1.734466e+00  4.694730e-01  2.388547e-02
1.752119e+00  4.615100e-01  2.476376e-02
1.769773e+00  4.536208e-01  2.569159e-02
1.787426e+00  4.458012e-01  2.667025e-02
1.805080e+00  4.380470e-01  2.770103e-02
1.822733e+00  4.303544e-01  2.878526e-02
