# E           ff_avg(e=0)   ff_avg(e=1)   ff_avg(e=2)   ff_avg(e=3)   ff_avg(e=4)   ff_avg(e=5)   ff_avg(e=6)   ff_avg(e=7)   ff_avg(e=8)   ff_avg(e=9) 
9.577147e-01  1.107737e+00  1.101369e+00  1.094594e+00  1.053074e+00  1.046374e+00  1.036939e+00  1.023761e+00  1.039201e+00  1.022612e+00  1.031059e+00
9.753681e-01  1.087203e+00  1.080914e+00  1.074229e+00  1.033245e+00  1.026633e+00  1.017328e+00  1.004334e+00  1.019537e+00  1.003176e+00  1.011506e+00
9.930216e-01  1.067284e+00  1.061071e+00  1.054473e+00  1.014007e+00  1.007480e+00  9.982996e-01  9.854855e-01  1.000457e+00  9.843173e-01  9.925342e-01
1.010675e+00  1.047950e+00  1.041811e+00  1.035298e+00  9.953310e-01  9.888878e-01  9.798282e-01  9.671878e-01  9.819342e-01  9.660094e-01  9.741160e-01
1.028328e+00  1.029175e+00  1.023107e+00  1.016676e+00  9.771927e-01  9.708299e-01  9.618879e-01  9.494161e-01  9.639433e-01  9.482269e-01  9.562264e-01
1.045982e+00  1.010934e+00  1.004935e+00  9.985834e-01  9.595673e-01  9.532825e-01  9.444547e-01  9.321466e-01  9.464601e-01  9.309460e-01  9.388414e-01
1.063635e+00  9.932023e-01  9.872707e-01  9.809961e-01  9.424318e-01  9.362227e-01  9.275058e-01  9.153567e-01  9.294618e-01  9.141443e-01  9.219383e-01
1.081289e+00  9.759581e-01  9.700915e-01  9.638918e-01  9.257645e-01  9.196288e-01  9.110196e-01  8.990252e-01  9.129270e-01  8.978003e-01  9.054958e-01
1.098942e+00  9.591796e-01  9.533761e-01  9.472492e-01  9.095446e-01  9.034802e-01  8.949758e-01  8.831316e-01  8.968350e-01  8.818939e-01  8.894933e-01
1.116596e+00  9.428466e-01  9.371042e-01  9.310481e-01  8.937526e-01  8.877575e-01  8.793548e-01  8.676568e-01  8.811665e-01  8.664058e-01  8.739117e-01
1.134249e+00  9.269397e-01  9.212567e-01  9.152693e-01  8.783698e-01  8.724421e-01  8.641384e-01  8.525826e-01  8.659029e-01  8.513178e-01  8.587325e-01
1.151902e+00  9.114406e-01  9.058152e-01  8.998947e-01  8.633786e-01  8.575163e-01  8.493089e-01  8.378914e-01  8.510269e-01  8.366124e-01  8.439384e-01
1.169556e+00  8.963318e-01  8.907624e-01  8.849068e-01  8.487620e-01  8.429634e-01  8.348497e-01  8.235669e-01  8.365216e-01  8.222733e-01  8.295127e-01
1.187209e+00  8.815967e-01  8.760817e-01  8.702893e-01  8.345041e-01  8.287675e-01  8.207449e-01  8.095933e-01  8.223713e-01  8.082847e-01  8.154396e-01
1.204863e+00  8.672194e-01  8.617573e-01  8.560264e-01  8.205896e-01  8.149132e-01  8.069794e-01  7.959556e-01  8.085607e-01  7.946316e-01  8.017042e-01
1.222516e+00  8.531849e-01  8.477741e-01  8.421032e-01  8.070039e-01  8.013861e-01  7.935388e-01  7.826396e-01  7.950754e-01  7.812997e-01  7.882919e-01
1.240170e+00  8.394788e-01  8.341178e-01  8.285052e-01  7.937331e-01  7.881724e-01  7.804093e-01  7.696315e-01  7.819017e-01  7.682755e-01  7.751892e-01
1.257823e+00  8.260872e-01  8.207748e-01  8.152190e-01  7.807639e-01  7.752588e-01  7.675778e-01  7.569183e-01  7.690264e-01  7.555459e-01  7.623830e-01
1.275477e+00  8.129971e-01  8.077319e-01  8.022314e-01  7.680837e-01  7.626328e-01  7.550318e-01  7.444877e-01  7.564369e-01  7.430984e-01  7.498607e-01
1.293130e+00  8.001958e-01  7.949766e-01  7.895300e-01  7.556804e-01  7.502822e-01  7.427592e-01  7.323277e-01  7.441213e-01  7.309213e-01  7.376104e-01
1.310783e+00  7.876715e-01  7.824969e-01  7.771029e-01  7.435423e-01  7.381955e-01  7.307486e-01  7.204269e-01  7.320680e-01  7.190031e-01  7.256207e-01
1.328437e+00  7.754125e-01  7.702814e-01  7.649386e-01  7.316583e-01  7.263616e-01  7.189890e-01  7.087745e-01  7.202661e-01  7.073330e-01  7.138807e-01
1.346090e+00  7.634079e-01  7.583191e-01  7.530263e-01  7.200179e-01  7.147700e-01  7.074698e-01  6.973600e-01  7.087049e-01  6.959005e-01  7.023798e-01
1.363744e+00  7.516470e-01  7.465994e-01  7.413553e-01  7.086107e-01  7.034105e-01  6.961809e-01  6.861734e-01  6.973744e-01  6.846955e-01  6.911081e-01
1.381397e+00  7.401199e-01  7.351124e-01  7.299158e-01  6.974271e-01  6.922733e-01  6.851128e-01  6.752050e-01  6.862649e-01  6.737086e-01  6.800557e-01
1.399051e+00  7.288166e-01  7.238482e-01  7.186980e-01  6.864575e-01  6.813491e-01  6.742559e-01  6.644457e-01  6.753671e-01  6.629305e-01  6.692136e-01
1.416704e+00  7.177279e-01  7.127976e-01  7.076926e-01  6.756931e-01  6.706289e-01  6.636016e-01  6.538867e-01  6.646720e-01  6.523524e-01  6.585728e-01
1.434357e+00  7.068449e-01  7.019516e-01  6.968909e-01  6.651251e-01  6.601041e-01  6.531410e-01  6.435193e-01  6.541710e-01  6.419657e-01  6.481248e-01
1.452011e+00  6.961588e-01  6.913017e-01  6.862841e-01  6.547453e-01  6.497664e-01  6.428661e-01  6.333354e-01  6.438559e-01  6.317623e-01  6.378612e-01
1.469664e+00  6.856615e-01  6.808395e-01  6.758641e-01  6.445455e-01  6.396077e-01  6.327688e-01  6.233272e-01  6.337188e-01  6.217342e-01  6.277744e-01
1.487318e+00  6.753448e-01  6.705572e-01  6.656229e-01  6.345180e-01  6.296204e-01  6.228415e-01  6.134870e-01  6.237519e-01  6.118741e-01  6.178565e-01
